size, dupes, statements
43, 26, 2601
43, 27, 2681
43, 28, 2833
43, 29, 2793
43, 30, 3077
43, 31, 3125
43, 32, 3225
43, 33, 3385
43, 34, 3261
43, 35, 3261
43, 36, 3789
43, 37, 3645
43, 38, 3813
43, 39, 3813
43, 40, 3997
43, 41, 4093
43, 42, 4133
43, 43, 4133
44, 1, 205
44, 2, 429
44, 3, 505
44, 4, 593
44, 5, 777
44, 6, 849
44, 7, 1133
44, 8, 909
44, 9, 1113
44, 10, 1089
44, 11, 1121
44, 12, 1365
44, 13, 1537
44, 14, 1429
44, 15, 1649
44, 16, 1885
44, 17, 1709
44, 18, 1841
44, 19, 2069
44, 20, 2257
44, 21, 1877
44, 22, 2457
44, 23, 2105
44, 24, 2509
44, 25, 2649
44, 26, 2765
44, 27, 2745
44, 28, 2937
44, 29, 3093
44, 30, 3125
44, 31, 3137
44, 32, 3229
44, 33, 3401
44, 34, 3309
44, 35, 3597
44, 36, 3661
44, 37, 3869
44, 38, 4029
44, 39, 4025
44, 40, 4173
44, 41, 4101
44, 42, 4153
44, 43, 4317
44, 44, 4317
45, 1, 261
45, 2, 469
45, 3, 457
45, 4, 569
45, 5, 593
45, 6, 809
45, 7, 1113
45, 8, 1169
45, 9, 1121
45, 10, 1049
45, 11, 1073
45, 12, 1405
45, 13, 1609
45, 14, 1665
45, 15, 2033
45, 16, 1837
45, 17, 2333
45, 18, 2013
45, 19, 1909
45, 20, 2081
45, 21, 2121
45, 22, 2269
45, 23, 2717
45, 24, 2477
45, 25, 2913
45, 26, 3017
45, 27, 3161
45, 28, 3005
45, 29, 2861
45, 30, 3445
45, 31, 3101
45, 32, 3193
45, 33, 3449
45, 34, 3537
45, 35, 3697
45, 36, 3929
45, 37, 3789
45, 38, 3901
45, 39, 4081
45, 40, 4201
45, 41, 4209
45, 42, 4157
45, 43, 4373
45, 44, 4505
45, 45, 4505
46, 1, 201
46, 2, 249
46, 3, 445
46, 4, 693
46, 5, 917
46, 6, 873
46, 7, 1233
46, 8, 1017
46, 9, 1301
46, 10, 1281
46, 11, 1321
46, 12, 1377
46, 13, 1533
46, 14, 1993
46, 15, 2329
46, 16, 1757
46, 17, 1857
46, 18, 2369
46, 19, 2213
46, 20, 1981
46, 21, 2241
46, 22, 2469
46, 23, 2577
46, 24, 2721
46, 25, 2529
46, 26, 2753
46, 27, 2925
46, 28, 2993
46, 29, 3413
46, 30, 2829
46, 31, 3245
46, 32, 3381
46, 33, 3353
46, 34, 3601
46, 35, 3525
46, 36, 3885
46, 37, 4005
46, 38, 3837
46, 39, 3837
46, 40, 4245
46, 41, 4301
46, 42, 4493
46, 43, 4429
46, 44, 4609
46, 45, 4697
46, 46, 4697
47, 1, 249
47, 2, 377
47, 3, 565
47, 4, 541
47, 5, 769
47, 6, 865
47, 7, 961
47, 8, 1357
47, 9, 1281
47, 10, 1297
47, 11, 1429
